age,gender,living,edu,exedu,married,income,happiness,status,party,health,y2018,y2016,logincome
43,0,0,6,-8,1,50000,1,3,-8,2,1,0,4.698970004
43,1,0,6,-8,1,70000,1,3,-8,3,1,0,4.84509804
39,1,0,5,-8,1,20000,1,3,-8,3,1,0,4.301029996
37,0,0,6,-8,1,40800,1,4,-8,1,1,0,4.610660163
35,1,0,5,-8,0,20000,1,3,-8,1,1,0,4.301029996
29,0,1,7,-8,0,75000,0,3,5,3,1,0,4.875061263
40,1,0,7,-8,1,57600,1,3,1,1,1,0,4.760422483
38,0,0,6,-8,1,38400,1,3,5,4,1,0,4.584331224
34,0,1,4,-8,1,60000,1,4,5,3,1,0,4.77815125
44,1,0,6,-8,1,60000,0,2,5,2,1,0,4.77815125
30,1,0,4,-8,1,36000,1,4,5,1,1,0,4.556302501
33,0,0,6,-8,1,28800,1,3,5,4,1,0,4.459392488
44,0,1,4,-8,1,9200,1,3,5,3,1,0,3.963787827
31,0,0,6,-8,1,25000,1,3,5,1,1,0,4.397940009
35,0,1,7,-8,1,60000,1,4,5,2,1,0,4.77815125
35,1,0,7,-8,1,45000,1,4,5,1,1,0,4.653212514
25,0,0,5,-8,0,30000,1,3,5,1,1,0,4.477121255
19,0,0,5,6,0,36800,1,3,5,1,1,0,4.565847819
24,1,0,7,7,0,6000,1,4,5,1,1,0,3.77815125
27,1,0,6,-8,1,36000,1,3,5,3,1,0,4.556302501
38,1,0,8,-8,1,120000,1,5,-8,2,1,0,5.079181246
35,0,0,8,-8,1,100000,1,4,1,1,1,0,5
33,0,0,7,-8,1,60000,1,3,1,2,1,0,4.77815125
35,0,0,7,-8,1,56200,1,4,5,1,1,0,4.749736316
31,0,0,8,-8,1,140000,1,5,5,2,1,0,5.146128036
32,1,1,4,-8,1,24000,1,3,5,2,1,0,4.380211242
42,0,0,7,-8,1,49200,1,4,5,3,1,0,4.691965103
30,1,0,7,-8,1,60000,1,2,5,2,1,0,4.77815125
28,0,1,7,-8,1,104000,1,3,-8,3,1,0,5.017033339
39,1,1,4,-8,1,20000,1,4,5,2,1,0,4.301029996
37,1,1,3,-8,1,36000,1,1,5,5,1,0,4.556302501
29,1,1,5,-8,1,51800,1,3,5,2,1,0,4.71432976
28,0,1,5,-8,1,21600,1,3,5,3,1,0,4.334453751
32,1,1,5,-8,1,40000,1,3,5,2,1,0,4.602059991
42,0,0,7,-8,1,48400,1,3,5,3,1,0,4.684845362
29,1,1,4,-8,1,30000,1,2,5,2,1,0,4.477121255
29,0,1,4,-8,1,12000,1,3,5,3,1,0,4.079181246
28,1,1,4,-8,1,25000,1,1,5,3,1,0,4.397940009
25,0,1,5,-8,1,4800,1,3,5,5,1,0,3.681241237
30,0,1,4,-8,1,24000,1,3,5,3,1,0,4.380211242
33,1,1,3,-8,1,36000,1,3,5,3,1,0,4.556302501
32,0,1,3,-8,1,18000,1,3,5,4,1,0,4.255272505
31,0,1,7,-8,1,45000,1,3,5,3,1,0,4.653212514
34,1,1,3,-8,1,36000,0,5,5,1,1,0,4.556302501
43,1,1,4,-8,1,240000,1,3,5,3,1,0,5.380211242
33,1,1,4,-8,1,50000,1,1,5,1,1,0,4.698970004
26,1,1,5,-8,1,36000,1,3,5,3,1,0,4.556302501
31,0,0,7,-8,1,29200,1,4,5,3,1,0,4.465382851
26,0,1,4,-8,1,24000,1,5,5,4,1,0,4.380211242
25,1,1,7,-8,1,50000,1,2,5,2,1,0,4.698970004
26,0,1,7,-8,1,30000,1,1,5,3,1,0,4.477121255
29,1,1,4,-8,1,36000,1,3,5,4,1,0,4.556302501
27,0,1,5,-8,1,24000,1,3,5,3,1,0,4.380211242
30,0,1,5,-8,1,36000,1,3,5,3,1,0,4.556302501
25,1,1,4,-8,1,69000,1,3,5,2,1,0,4.838849091
33,1,1,4,-8,0,10000,1,1,5,3,1,0,4
28,1,1,3,-8,1,24000,1,4,5,3,1,0,4.380211242
28,1,1,8,-8,1,47000,1,3,5,2,1,0,4.672097858
31,0,1,7,-8,1,45000,1,4,5,3,1,0,4.653212514
28,0,1,7,-8,1,50000,1,3,-8,4,1,0,4.698970004
37,0,1,4,-8,1,7200,1,4,5,3,1,0,3.857332496
37,0,1,4,-8,0,16000,0,3,5,3,1,0,4.204119983
25,0,1,6,-8,1,13200,1,3,5,3,1,0,4.120573931
32,0,1,7,-8,1,28000,1,3,5,3,1,0,4.447158031
31,1,1,7,-8,1,75000,1,2,5,5,1,0,4.875061263
28,1,1,8,-8,0,5000,1,4,5,1,1,0,3.698970004
39,1,1,4,-8,1,60000,1,1,5,1,1,0,4.77815125
39,1,1,7,-8,1,300000,1,3,5,3,1,0,5.477121255
41,0,1,4,-8,1,50000,1,3,5,3,1,0,4.698970004
42,1,1,4,-8,1,50000,1,3,-8,3,1,0,4.698970004
35,1,1,3,-8,0,25000,1,2,5,3,1,0,4.397940009
44,1,1,4,-8,1,55000,1,3,5,2,1,0,4.740362689
20,0,1,5,6,0,15950,1,3,5,1,1,0,4.202760687
27,1,1,4,-8,1,70000,1,4,5,1,1,0,4.84509804
28,0,1,5,-8,1,32300,1,3,5,3,1,0,4.509202522
38,0,0,3,-8,0,26000,1,2,5,2,1,0,4.414973348
32,1,1,4,-8,1,420,1,2,5,5,1,0,2.62324929
29,1,1,3,-8,1,24000,1,2,5,2,1,0,4.380211242
26,0,0,6,-8,1,3000,1,1,5,2,1,0,3.477121255
42,1,1,4,-8,1,40000,1,2,5,1,1,0,4.602059991
43,0,1,4,-8,1,24000,1,3,5,3,1,0,4.380211242
32,1,1,5,-8,1,54400,1,3,5,2,1,0,4.7355989
31,1,1,4,-8,1,60000,1,4,5,1,1,0,4.77815125
31,0,1,3,-8,1,15000,1,4,5,1,1,0,4.176091259
39,0,1,3,-8,1,10600,1,5,5,4,1,0,4.025305865
44,0,1,4,-8,1,2000,1,1,5,2,1,0,3.301029996
42,1,1,4,-8,1,27000,1,3,5,3,1,0,4.431363764
37,0,1,4,-8,1,15000,1,1,5,3,1,0,4.176091259
30,1,1,10,-8,1,20000,0,3,5,1,1,0,4.301029996
52,1,1,10,-8,1,30000,1,3,5,3,1,0,4.477121255
31,1,1,6,-8,1,85000,1,2,5,2,1,0,4.929418926
29,0,1,5,-8,1,21600,1,4,5,2,1,0,4.334453751
32,0,1,6,-8,1,90000,1,4,5,1,1,0,4.954242509
37,1,1,10,-8,1,50000,1,3,5,3,1,0,4.698970004
42,1,1,4,-8,1,95000,1,3,5,3,1,0,4.977723605
42,0,1,4,-8,1,40000,1,3,5,3,1,0,4.602059991
32,1,1,3,-8,1,40000,1,1,5,1,1,0,4.602059991
28,0,0,4,-8,1,28800,1,3,1,2,1,0,4.459392488
44,1,1,3,-8,1,60000,1,3,5,3,1,0,4.77815125
44,0,1,4,-8,1,12000,1,5,5,3,1,0,4.079181246
41,1,1,4,-8,1,5000,1,3,5,3,1,0,3.698970004
31,1,1,5,-8,1,50000,1,2,5,3,1,0,4.698970004
29,0,1,4,-8,1,50000,1,4,5,1,1,0,4.698970004
27,1,1,4,-8,0,40000,1,3,5,1,1,0,4.602059991
41,1,1,3,-8,1,35000,1,3,5,3,1,0,4.544068044
40,0,1,3,-8,1,18000,1,3,5,2,1,0,4.255272505
39,0,1,3,-8,1,3900,1,1,5,3,1,0,3.591064607
28,1,1,4,-8,1,30000,1,3,5,2,1,0,4.477121255
27,0,1,5,-8,1,30000,0,2,5,3,1,0,4.477121255
25,0,1,6,-8,1,96000,1,3,5,1,1,0,4.982271233
39,1,0,4,-8,1,52000,1,5,5,2,1,0,4.716003344
37,0,1,4,-8,1,24000,1,2,1,3,1,0,4.380211242
33,1,0,7,-8,1,100000,1,3,-8,2,1,0,5
30,1,1,5,-8,1,50000,1,1,5,2,1,0,4.698970004
37,1,1,4,-8,1,50000,1,2,5,1,1,0,4.698970004
35,0,1,4,-8,1,10000,1,3,-8,3,1,0,4
28,0,1,5,-8,1,6000,1,3,5,3,1,0,3.77815125
59,1,1,0,-8,1,12500,1,5,5,3,1,0,4.096910013
33,1,0,8,-8,1,70000,1,2,-8,3,1,0,4.84509804
29,0,1,5,-8,1,20000,1,3,5,2,1,0,4.301029996
27,0,1,6,-8,1,42000,1,3,5,3,1,0,4.62324929
44,1,0,4,-8,1,20000,1,3,5,1,1,0,4.301029996
30,1,1,5,-8,1,36000,1,3,5,5,1,0,4.556302501
22,1,1,6,7,0,50000,1,3,1,2,1,0,4.698970004
23,0,1,5,7,0,20000,1,2,5,3,1,0,4.301029996
36,1,1,3,-8,1,40000,1,2,5,5,1,0,4.602059991
25,1,1,7,-8,0,55000,1,3,-8,3,1,0,4.740362689
44,0,1,5,-8,1,10000,1,3,5,3,1,0,4
19,1,1,4,5,0,7000,1,3,5,1,1,0,3.84509804
44,0,1,5,-8,1,12000,1,3,5,3,1,0,4.079181246
43,1,0,6,-8,1,60000,1,3,5,3,1,0,4.77815125
38,1,1,6,-8,1,123000,1,4,-8,1,1,0,5.089905111
36,0,1,6,-8,1,66000,1,3,5,3,1,0,4.819543936
28,0,1,7,-8,1,60000,1,3,5,3,1,0,4.77815125
23,0,1,6,6,0,20000,1,3,5,2,1,0,4.301029996
26,1,1,3,-8,1,30000,1,3,5,2,1,0,4.477121255
16,0,1,4,7,0,2000,1,4,5,3,1,0,3.301029996
44,0,0,7,-8,1,45000,1,3,5,4,1,0,4.653212514
23,0,1,6,7,0,36000,0,2,5,1,1,0,4.556302501
33,0,1,4,-8,1,19200,1,3,5,4,1,0,4.283301229
31,0,1,7,-8,1,30000,1,3,-8,4,1,0,4.477121255
32,1,1,4,-8,1,60000,1,3,5,5,1,0,4.77815125
32,0,1,4,-8,1,30000,1,3,5,3,1,0,4.477121255
26,0,1,7,-8,0,50000,1,3,5,3,1,0,4.698970004
32,0,1,6,-8,1,20000,1,5,-8,1,1,0,4.301029996
36,0,1,5,-8,1,35000,1,3,5,3,1,0,4.544068044
38,1,1,4,-8,1,8000,1,4,5,2,1,0,3.903089987
30,1,1,5,-8,1,32400,1,2,5,5,1,0,4.51054501
44,0,1,4,-8,1,30000,1,3,5,2,1,0,4.477121255
23,1,1,3,7,0,70000,0,5,5,3,1,0,4.84509804
39,0,1,3,-8,0,30500,1,5,5,3,1,0,4.484299839
53,1,1,4,-8,1,20700,1,4,5,3,1,0,4.315970345
31,1,1,4,-8,1,50000,1,3,5,3,1,0,4.698970004
26,1,1,6,-8,1,56000,1,3,5,2,1,0,4.748188027
30,1,1,5,-8,1,30000,1,2,5,3,1,0,4.477121255
33,1,1,4,-8,1,30000,1,1,5,2,1,0,4.477121255
30,1,1,4,-8,1,26000,1,2,5,3,1,0,4.414973348
30,1,1,5,-8,1,30000,1,2,5,3,1,0,4.477121255
28,1,1,5,-8,1,96000,1,2,5,3,1,0,4.982271233
28,0,1,5,-8,1,16000,1,3,5,1,1,0,4.204119983
33,1,1,6,-8,1,51000,1,3,5,3,1,0,4.707570176
21,1,1,5,5,0,40000,1,3,5,3,1,0,4.602059991
27,1,1,5,-8,0,78000,1,2,5,3,1,0,4.892094603
46,0,1,0,-8,1,18000,1,2,5,3,1,0,4.255272505
46,1,1,4,-8,1,39600,1,1,5,5,1,0,4.597695186
33,1,1,4,-8,1,50000,1,3,5,2,1,0,4.698970004
32,1,1,4,-8,1,25000,1,3,5,5,1,0,4.397940009
41,1,1,4,-8,0,48000,1,3,5,3,1,0,4.681241237
30,1,1,4,-8,1,30000,1,3,5,3,1,0,4.477121255
28,1,1,5,-8,0,50000,1,3,5,2,1,0,4.698970004
20,1,1,5,6,0,11000,1,3,5,1,1,0,4.041392685
35,0,1,8,-8,0,60000,1,3,-8,3,1,0,4.77815125
33,1,1,4,-8,1,65000,0,2,5,3,1,0,4.812913357
30,1,1,3,-8,0,50000,1,5,5,3,1,0,4.698970004
36,1,1,4,-8,1,30000,1,2,5,3,1,0,4.477121255
18,0,1,5,6,0,10000,1,2,5,2,1,0,4
37,1,1,3,-8,1,24000,1,3,5,3,1,0,4.380211242
23,0,1,4,5,1,18000,1,2,5,3,1,0,4.255272505
26,1,1,6,-8,1,50000,0,1,5,1,1,0,4.698970004
42,1,1,3,-8,0,32000,1,1,5,1,1,0,4.505149978
27,1,1,5,-8,0,30000,1,3,5,2,1,0,4.477121255
25,1,1,3,-8,1,95000,1,3,5,2,1,0,4.977723605
26,0,1,4,-8,1,30000,1,3,5,2,1,0,4.477121255
36,1,1,4,-8,1,15000,1,1,5,3,1,0,4.176091259
37,0,1,4,-8,1,8000,1,3,5,1,1,0,3.903089987
41,1,1,4,-8,1,24000,1,4,5,1,1,0,4.380211242
38,0,1,3,-8,1,18000,1,4,5,4,1,0,4.255272505
30,1,1,3,-8,1,48000,1,4,5,4,1,0,4.681241237
28,1,1,3,-8,1,36000,1,2,5,3,1,0,4.556302501
30,0,1,4,-8,1,9600,1,1,5,3,1,0,3.982271233
28,0,1,7,-8,0,84000,1,3,5,3,1,0,4.924279286
25,0,1,7,-8,0,48000,1,4,5,3,1,0,4.681241237
44,0,1,4,-8,1,22000,1,3,5,1,1,0,4.342422681
19,1,1,4,4,0,30000,1,2,1,3,1,0,4.477121255
22,0,1,7,7,0,45000,1,4,5,3,1,0,4.653212514
35,1,0,6,-8,1,18000,1,3,1,3,1,0,4.255272505
28,1,0,7,-8,1,128000,1,3,5,2,1,0,5.10720997
31,1,1,3,-8,1,30000,1,3,5,1,1,0,4.477121255
49,1,1,4,-8,1,26000,1,4,5,3,1,0,4.414973348
40,1,1,4,-8,0,54000,1,5,5,3,1,0,4.73239376
30,1,1,4,-8,0,50000,0,1,5,3,1,0,4.698970004
